sku,qty,is_in_stock
124892,10,1
124893,80,1
124894,48,1
124895,168,1
124896,60,1
124897,0,0
124898,0,0
124899,0,0
124900,0,0
124901,0,0
124902,0,0
124903,0,0
124904,0,0
124905,1,1
124906,0,0
124907,0,0
124908,2,1
124909,0,0
124910,0,0
124911,0,0
124912,0,0
124913,5,1
124914,3,1
124915,2,1
124916,7,1
124917,2,1
124918,0,0
124919,0,0
124920,0,0
124921,10,1
124922,0,0
124923,3,1
124924,3,1
124925,0,0
124926,0,0
124927,0,0
124928,0,0
124929,14,1
124930,18,1
124931,7,1
124932,0,0
124933,0,0
124934,0,0
124935,0,0
124936,16,1
124937,9,1
124938,7,1
124939,5,1
124940,5,1
124941,3,1
124942,1,1
124943,3,1
124944,0,0
124945,2,1
124946,2,1
124947,0,0
124948,0,0
124949,12,1
124950,0,0
124951,23,1
124952,32,1
124953,0,0
124954,24,1
124955,35,1
124956,36,1
124957,0,0
124958,0,0
124959,0,0
124960,0,0
124961,1,1
124962,0,0
124963,2,1
124964,0,0
124965,0,0
124966,3,1
124967,3,1
124968,3,1
124969,7,1
124970,0,0
124971,0,0
124972,0,0
124973,3,1
124974,0,0
124975,4,1
124976,5,1
124977,6,1
124978,10,1
124979,0,0
124980,0,0
124981,0,0
124982,0,0
124983,0,0
124984,0,0
124985,2,1
124986,3,1
124987,5,1
124988,0,0
124989,2,1
124990,0,0
124991,0,0
124992,2,1
124993,0,0
124994,0,0
124995,0,0
124996,1,1
124997,4,1
124998,3,1
124999,11,1
125000,0,0
125001,0,0
125002,8,1
125003,1,1
125004,4,1
125005,0,0
125006,0,0
125007,0,0
125008,5,1
125009,0,0
125010,0,0
125011,0,0
125012,0,0
125013,0,0
125014,0,0
125015,0,0
125016,0,0
125017,0,0
125018,0,0
125019,9,1
125020,90,1
125021,0,0
125022,3,1
125023,0,0
125024,0,0
125025,0,0
125026,0,0
125027,0,0
125028,0,0
125029,0,0
125030,0,0
125031,0,0
125032,0,0
125033,0,0
125034,0,0
125035,0,0
125036,0,0
125037,0,0
125038,8,1
125039,0,0
125040,0,0
125041,3,1
125042,5,1
125043,3,1
125044,0,0
125045,3,1
125046,0,0
125047,0,0
125048,0,0
125050,0,0
125051,0,0
125052,6,1
125053,0,0
125054,0,0
125055,0,0
125056,0,0
125057,0,0
125058,154,1
125059,0,0
125060,432,1
125061,4,1
125062,8,1
125063,0,0
125064,0,0
125065,-1,0
125069,5,1
125070,7,1
125072,0,0
125073,3,1
125074,6,1
125075,2,1
125076,8,1
125077,2,1
125078,4,1
125079,8,1
125080,3,1
125081,3,1
125082,4,1
125083,3,1
125084,3,1
125085,4,1
125086,3,1
125087,2,1
125088,0,0
125089,0,0
125090,0,0
125091,0,0
125092,0,0
125094,0,0
