Category	GTIN	Manufacturer	Model	Merchant Product Code	Product Name	Product Description	Product URL	Product Image URL	availability	Price	condition	title	id	brand	image_link	identifier exists
EAA Essential Amino Acids	131365	Scitec Nutrition		131365	Essential Amino Matrix by Scitec Nutrition	Essential amino acids are indispensable for us, because they cannot be synthesized by the body and therefore must be supplied in the diet. The branched-chain amino acids (BCAA&rsquo;s) are among the essential ones and they account approximately for 35% of the essential amino acids in muscle proteins.	http://www.nutritionwarehouse.com.au/product.php?productid=2345	http://www.nutritionwarehouse.com.au/images/T/scitec-essential-amino-matrix.jpg	out of stock	39.95	new	Essential Amino Matrix by Scitec Nutrition	2345	Scitec Nutrition	http://www.nutritionwarehouse.com.au/images/P/scitec-essential-amino-matrix.jpg	FALSE
Weight Loss & Diet Supplements/Fat Burners	131085	Muscletech Supplements		131085	Hydroxycut 100% Pure Green Coffee by Muscletech	Key Benefits 800mg of Pure Green Coffee Extract per serving, including 200mg standardized to 45% chlorogenic acids Scientifically Researched Weight Loss Ingredient Non-Stimulant Formula 	http://www.nutritionwarehouse.com.au/product.php?productid=2346	http://www.nutritionwarehouse.com.au/images/T/HYDROXYCUT-GREEN-COFFEE.jpg	out of stock	34.95	new	Hydroxycut 100% Pure Green Coffee by Muscletech	2346	Muscletech Supplements	http://www.nutritionwarehouse.com.au/images/P/HYDROXYCUT-GREEN-COFFEE.jpg	FALSE
WPI Whey Protein Isolate 90%	132014	Scitec Nutrition		132014	100% Whey Protein Professional by Scitec Nutrition	Key Benefits &quot;Amino Acid Matrix&rdquo; that provides popular extra amino acids, namely&nbsp;L-Leucine, L-Glutamine and&nbsp;Taurine. Digestive enzyme blend of Papain and&nbsp;Bromelain&nbsp;is included in our formula! Aspartame free formula! 	http://www.nutritionwarehouse.com.au/product.php?productid=2347	http://www.nutritionwarehouse.com.au/images/T/Scitec%20100%20Whey%20Professional%20.jpg	in stock	49.95	new	100% Whey Protein Professional by Scitec Nutrition	2347	Scitec Nutrition	http://www.nutritionwarehouse.com.au/images/P/Scitec%20100%20Whey%20Professional%20.jpg	FALSE
Weight Gainer Protein Powder	131371	Scitec Nutrition		131371	Jumbo Weight Gainer by Scitec Nutrition	Key Benefits 50g quality protein per serving! &ldquo;6-Carb&rdquo; Carbohydrate blend with different Carbs including oat flour, Palatinose&trade; &amp; waxy maize starch! &quot;Jumbo&quot; extra ingredient matrix! 5 types of creatines! Especially for hardgainers! 	http://www.nutritionwarehouse.com.au/product.php?productid=2348	http://www.nutritionwarehouse.com.au/images/T/Scitec-Jumbo.jpg	in stock	94.95	new	Jumbo Weight Gainer by Scitec Nutrition	2348	Scitec Nutrition	http://www.nutritionwarehouse.com.au/images/P/Scitec-Jumbo.jpg	FALSE
L-Carnitine - Safe effective weight loss!	131361	Primaforce		131361	Alcalean Acetyl L-Carnitine by PrimaForce	Key Benefits 100% Acetyl L-Carnitine Improve Performance Burn Fat Maximize Focus Dietary Supplement 	http://www.nutritionwarehouse.com.au/product.php?productid=2349	http://www.nutritionwarehouse.com.au/images/T/alcalean_primaforce.jpg	in stock	47.95	new	Alcalean Acetyl L-Carnitine by PrimaForce	2349	Primaforce	http://www.nutritionwarehouse.com.au/images/P/alcalean_primaforce.jpg	FALSE
Fat Burners/Energy	131354	Primaforce		131354	Dendrobium Powder 30g by PrimaForce	Key Benefits Powerful pre-workout igniter Excellent fat loss stack ingredient High potency extract 	http://www.nutritionwarehouse.com.au/product.php?productid=2350	http://www.nutritionwarehouse.com.au/images/T/primaforce-dendrobium-powder.jpg	out of stock	37.95	new	Dendrobium Powder 30g by PrimaForce	2350	Primaforce	http://www.nutritionwarehouse.com.au/images/P/primaforce-dendrobium-powder.jpg	FALSE
Healthy Food & Snacks	131351	Body Ripped Sports Nutrition		131351	Lean Protein Dessert 110g by Body Ripped	Key Benefits low in carbs low fat low sugar low GI 	http://www.nutritionwarehouse.com.au/product.php?productid=2351	http://www.nutritionwarehouse.com.au/images/T/body-ripped-Lean-Protein-Dessert.jpg	in stock	2.95	new	Lean Protein Dessert 110g by Body Ripped	2351	Body Ripped Sports Nutrition	http://www.nutritionwarehouse.com.au/images/P/body-ripped-Lean-Protein-Dessert.jpg	FALSE
Protein Bars	131424	Max's Supplements		131424	SuperShred Bars - Low Carb High Protein Bars by Max's	&nbsp;Key Benefits High Protein Low Carbs 4 Flavours 	http://www.nutritionwarehouse.com.au/product.php?productid=2352	http://www.nutritionwarehouse.com.au/images/T/SuperShred-Bars---Low-Carb-High-Protein-Bars-by-Maxs-01.jpg	in stock	4.49	new	SuperShred Bars - Low Carb High Protein Bars by Max's	2352	Max's Supplements	http://www.nutritionwarehouse.com.au/images/P/SuperShred-Bars---Low-Carb-High-Protein-Bars-by-Maxs-01.jpg	FALSE
Cold Sore	131417	NutraLife		131417	Lysine 1200mg Tablets by NutraLife	&nbsp;Key Benefits Nutritional support for customers who are prone to cold sores 1200mg of pure Lysine, an essential amino acid that the body cannot synthesise on its own 1-a-day, coated tablet 	http://www.nutritionwarehouse.com.au/product.php?productid=2353	http://www.nutritionwarehouse.com.au/images/T/nutralife-lysine-1200.jpg	out of stock	16.95	new	Lysine 1200mg Tablets by NutraLife	2353	NutraLife	http://www.nutritionwarehouse.com.au/images/P/nutralife-lysine-1200.jpg	FALSE
Weight Loss & Diet Supplements/Fat Burners	131416	NutraLife		131416	Green Coffee Bean 2800 MAX PLUS One-a-day by NutraLife	Key Benefits Healthy weight management Maintaining normal blood sugar levels in healthy individuals Protecting the body from the harmful effects of oxidative damages 	http://www.nutritionwarehouse.com.au/product.php?productid=2354	http://www.nutritionwarehouse.com.au/images/T/Green-Coffee-Bean-2800-MAX-PLUS-One-a-day-by-NutraLife.jpg	in stock	19.95	new	Green Coffee Bean 2800 MAX PLUS One-a-day by NutraLife	2354	NutraLife	http://www.nutritionwarehouse.com.au/images/P/Green-Coffee-Bean-2800-MAX-PLUS-One-a-day-by-NutraLife.jpg	FALSE
Healthy Food & Snacks	125301	Aussie Bodies		125301	Protein Revival By Aussie Bodies	Key Benefits 30g of high-quality protein per serve+ 1:1 balance of protein and carbs for sustained energy Protein Revival 99%&nbsp; fat free Dutch LO CARB 97% fat free 	http://www.nutritionwarehouse.com.au/product.php?productid=2355	http://www.nutritionwarehouse.com.au/images/T/Protein%20Revival%20375ml%20By%20Aussie%20Bodies.jpg	in stock	4.95	new	Protein Revival By Aussie Bodies	2355	Aussie Bodies	http://www.nutritionwarehouse.com.au/images/P/Protein%20Revival%20375ml%20By%20Aussie%20Bodies.jpg	FALSE
Training Accessories & Clothing	131158	Vantage Strength Accessories		131158	Leather Weight Belt Large PLUS Single Tail Lifting Straps By Vantage Strength Accessories	&nbsp;Key Benefits 4&rdquo; Black split leather Two tongue buckle with heavy steel roller Top quality padding for back support and comfort 	http://www.nutritionwarehouse.com.au/product.php?productid=2356	http://www.nutritionwarehouse.com.au/images/T/Leather-Weight-Belt-Large-and-Single-Tail-Lifting-Straps-vantage.jpg	in stock	52.95	new	Leather Weight Belt Large PLUS Single Tail Lifting Straps By Vantage Strength Accessories	2356	Vantage Strength Accessories	http://www.nutritionwarehouse.com.au/images/P/Leather-Weight-Belt-Large-and-Single-Tail-Lifting-Straps-vantage.jpg	FALSE
